"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "XML", "CSS", "JavaScript", "JSON with Comments", "Properties", "Markdown", "HTML", "YAML", "SQL", "comment", "blank", "total"
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 12, 38
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/back/controllers/categoriesController.js", "JavaScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/back/controllers/productController.js", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/back/controllers/tagController.js", "JavaScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/back/controllers/userController.js", "JavaScript", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 1, 8, 68
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/back/data/create_tables.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 9, 53
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/back/data/populate_tables.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 18, 80
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/back/index.js", "JavaScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 10, 35
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/back/middlewares/controllerWrapper.js", "JavaScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/back/package.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/back/pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 985, 0, 0, 322, 1307
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/back/routes/router.js", "JavaScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 11, 52
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/biome.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/package.json", "JSON", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2129, 0, 0, 636, 2765
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/public/assets/icons/burger.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/public/assets/icons/caret-down.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/public/assets/icons/cart.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
